Date,T(off-chip),L(lux),T2(on-board),H(rel%),T3(hum-sensor),P(Pa),M(5sec)
2021-04-26 03:30:01.639666,19,,24,44,26,102082,0
2021-04-26 03:45:01.846390,19,,24,45,26,102058,0
2021-04-26 04:00:02.063908,19,,24,45,25,102063,0
2021-04-26 04:15:01.266112,19,,24,45,25,102056,0
2021-04-26 04:30:01.528725,19,,24,45,26,102044,0
2021-04-26 04:45:01.746954,19,,24,44,25,102037,0
2021-04-26 05:00:01.955241,19,,24,45,25,102036,0
2021-04-26 05:15:02.175498,19,,23,45,25,102033,0
2021-04-26 05:30:01.428736,19,0,23,45,25,102047,0
2021-04-26 05:45:01.636567,18,2,23,45,25,102041,0
2021-04-26 06:00:01.847946,18,84,24,44,25,102051,0
2021-04-26 06:15:02.053734,18,262,24,41,27,102052,0
2021-04-26 06:30:01.847268,19,785,25,38,28,102045,0
2021-04-26 06:45:02.049495,18,784,26,37,28,102038,0
2021-04-26 07:00:01.247501,18,141,26,37,28,102029,0
2021-04-26 07:15:01.456221,18,482,26,37,28,102035,0
2021-04-26 07:30:01.724690,18,67,26,38,28,102032,0
2021-04-26 07:45:01.929323,18,87,26,39,28,102030,0
2021-04-26 08:00:02.145199,17,57,25,40,27,102034,0
2021-04-26 08:15:01.355101,18,56,25,40,27,102032,0
2021-04-26 08:30:01.622461,13,40,24,42,25,102030,1
2021-04-26 08:45:01.828016,8,58,25,39,27,102027,0
2021-04-26 09:00:02.042558,8,40,25,39,27,102029,0
2021-04-26 09:15:01.249245,8,39,24,42,26,102017,1
2021-04-26 09:30:01.519334,8,46,24,42,26,102014,0
2021-04-26 09:45:01.716549,9,38,24,42,26,102007,0
2021-04-26 10:00:01.922686,9,36,24,43,26,102008,0
2021-04-26 10:15:02.138622,9,39,24,43,26,102000,0
2021-04-26 10:30:01.396349,8,41,24,43,26,101993,0
2021-04-26 10:45:01.598386,10,48,24,43,26,101996,0
2021-04-26 11:00:01.803743,10,44,24,42,26,101989,0
2021-04-26 11:15:02.008744,11,39,24,43,26,101991,0
2021-04-26 11:30:01.266792,10,53,24,43,26,101967,0
2021-04-26 11:45:01.469795,11,58,24,43,26,101956,0
2021-04-26 12:00:01.677461,11,39,24,43,26,101946,0
2021-04-26 12:15:01.891568,10,38,24,42,26,101933,1
2021-04-26 12:30:02.161702,11,43,24,43,26,101931,0
2021-04-26 12:45:01.379637,11,48,24,43,26,101912,1
2021-04-26 13:00:01.588291,12,61,26,40,27,101891,0
2021-04-26 13:15:01.797325,11,39,26,38,28,101882,0
2021-04-26 13:30:02.059748,11,47,26,40,28,101860,0
2021-04-26 13:45:01.265250,12,46,27,39,28,101853,0
2021-04-26 14:00:01.464598,11,43,27,36,29,101840,0
2021-04-26 14:15:01.680665,10,47,28,35,30,101825,0
2021-04-26 14:30:01.946420,12,56,28,36,29,101822,1
2021-04-26 14:45:02.156868,12,53,28,34,30,101800,0
2021-04-26 15:00:01.367087,12,55,27,38,29,101788,0
2021-04-26 15:15:01.577617,12,39,26,39,28,101762,0
2021-04-26 15:30:01.839215,12,38,28,37,30,101754,0
2021-04-26 15:45:02.043505,12,36,27,37,30,101727,0
2021-04-26 16:00:01.253204,12,39,28,35,30,101727,0
2021-04-26 16:15:01.459881,12,39,28,34,30,101711,0
2021-04-26 16:30:01.717380,12,35,29,33,31,101690,0
2021-04-26 16:45:01.926306,12,38,26,37,29,101676,0
2021-04-26 17:00:02.136984,12,34,26,39,28,101657,0
2021-04-26 17:15:01.326660,12,35,28,35,30,101640,0
2021-04-26 17:30:01.588738,12,30,28,34,30,101636,0
2021-04-26 17:45:01.799595,12,28,27,35,30,101631,0
2021-04-26 18:00:02.015352,12,24,28,35,29,101622,0
2021-04-26 18:15:01.230416,12,26,28,33,30,101608,0
2021-04-26 18:30:01.498739,12,26,26,38,28,101604,0
2021-04-26 18:45:01.709846,12,22,26,38,29,101595,1
2021-04-26 19:00:01.930037,12,15,28,34,30,101584,0
2021-04-26 19:15:02.138453,12,13,28,33,31,101584,0
2021-04-26 19:30:01.394273,12,10,28,34,30,101589,1
2021-04-26 19:45:01.598941,12,4,28,35,29,101585,0
2021-04-26 20:00:01.807420,12,2,27,39,29,101585,0
2021-04-26 20:15:02.023350,12,0,27,41,29,101592,0
2021-04-26 20:30:01.285286,12,0,27,42,28,101599,0
2021-04-26 20:45:01.498601,11,0,27,41,28,101610,0
2021-04-26 21:00:01.707054,11,0,26,43,28,101629,0
2021-04-26 21:15:01.926607,11,0,26,43,28,101639,0
2021-04-26 21:30:01.195967,10,0,25,44,27,101645,0
2021-04-26 21:45:01.400141,9,0,26,44,28,101649,0
2021-04-26 22:00:01.612035,9,0,27,39,29,101649,0
2021-04-26 22:15:01.807806,9,0,28,36,29,101653,0
2021-04-26 22:30:02.068370,9,0,26,44,28,101665,0
2021-04-26 22:45:01.269909,9,,25,44,27,101658,0
2021-04-26 23:00:01.463991,8,,25,44,27,101648,0
2021-04-26 23:15:01.669933,8,0,25,44,27,101649,1
